XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,ArchivalCollection,Series,Subseries,Box,Item,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,Frequency,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,2300,,,,,,,,,,,"The Snowfairies on Third Rail Radio, WMUC, April 25, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"The Snowfairies play live on Third Rail Radio at WMUC at the University of Maryland, April 25, 2004.",UniversityArchives,WMUC Archives,,2004-04-25,2004-04-25,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=1855b6ed9756424,,bcast-035482-0001,00:20:53,00:20:53,10 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2301,,,,,,,,,,,"Mr. Moccasin on Third Rail Radio, WMUC, July 11, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Mr. Moccasin plays live on Third Rail Radio at WMUC at the University of Maryland, July 11, 2004.",UniversityArchives,WMUC Archives,,2004-07-01,2004-07-01,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,Some writing illegible,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=269ff17cab0942e,,bcast-035484-0001,00:28:31,00:28:31,10 tracks,DCMR,"Dook, Rachel",2015-05-01,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2302,,,,,,,,,,,"Rombis on Third Rail Radio, WMUC, May 9, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Rombis plays live on on Third Rail Radio at WMUC at the University of Maryland, May 09, 2004.",UniversityArchives,WMUC Archives,,2004-05-09,2004-05-09,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=64c1e741d00d468,,bcast-035492-0001,00:30:10,00:30:10,6 tracks,DCMR,"Winterbottom, Brin",2015-05-05,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2303,,,,,,,,,,,"The Beltways on Third Rail Radio, WMUC, May 16, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"The Beltways play live on Third Rail Radio at WMUC at the University of Maryland, May 16, 2004.",UniversityArchives,WMUC Archives,,2004-05-16,2004-05-16,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=392942443d8a440,,bcast-035493-0001,00:40:12,00:40:12,12 tracks,DCMR,"Winterbottom, Brin",2015-05-05,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2304,,,,,,,,,,,"Crime Spree on Third Rail Radio, WMUC, November 15, 2003",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Crime Spree plays live on Third Rail Radio at WMUC at the University of Maryland, November 15, 2003.",UniversityArchives,WMUC Archives,,2003-11-15,2003-11-15,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=8cb5a6c9662642e,,bcast-035494-0001,00:16:57,00:16:57,4 tracks,DCMR,"Winterbottom, Brin",2015-05-05,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
UMDM,,UMDM,,,2305,,,,,,,,,,,"Endless Mike and the Beagle Club on Third Rail Radio, WMUC, December 19, 2004",,,,,,"WMUC (Radio station : College Park, Md.)",corpName,"Endless Mike and the Beagle Club play live on Third Rail Radio at WMUC at the University of Maryland, December 19, 2004.",UniversityArchives,WMUC Archives,,2004-12-19,2004-12-19,2001-2100,English,,WMUC Collection,"5: Audio Materials, 1960s-2000s",,,,"University of Maryland (College Park, Md.)",Access is restricted to patrons at the University of Maryland.,"Broadcasting, Communications; Performing Arts, Music",,,,,sound,digital,instrumental and vocal music,CD,"5""",,North America,United States,Maryland,College Park,,,,,,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=c571749689bb417,,bcast-035495-0001,00:23:08,00:23:08,6 tracks,DCMR,"Winterbottom, Brin",2015-05-05,N/A,N/A,CDex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,passed,yes,,,,,,,,
