XMLType,DigitalCollectionsURLs,UMDM,UMAM,SharestreamURLs,Identifier,FileName,DurationMasters,DurationDerivatives,DigitizationNotes,DigitizedByDept,DigitizedByPers,DateDigitized,PlaybackDevice,AnalogInterface,DigitizationSoftware,Title,AlternateTitle,Creator,CreatorType,Contributor,ContributorType,Provider/Publisher,Provider/PublisherType,Description/Summary,Credits,Department,FedoraCollection,DateAttribute,DateCreated,OriginalBroadcastDate,Century,Language,Accession,Series,Subseries,Box,Item,ArchivalCollection,CopyrightHolder,Rights,RepositoryBrowse,RecordingNotes,Mono/Stereo,TrackFormat,MediaType,FormType,Form,Format,Dimensions,PlaybackSpeed,Continent,Country,Region/State,Settlement/City,FrameRate,ImageResolution (PPI),AspectRatio,TimeStart (timecode),ChannelConfiguration,Color,PreservationNote/PhysicalNote,QANotes,Finished,TopicalSubject,TopicalScheme,GeographicalSubject,GeographicalScheme,CorpSubject,CorpScheme,PersonalSubject,PersonalScheme
UMDM,,UMDM,,,19591121-FB-0002-2Qtr,,,,,,,,,,,"Football: Maryland (55) vs. Virginia (12), November 21, 1959",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (55) and Virginia (12) on November 21, 1959",,University Archives,University AlbUM,,1959-11-21,,1901-2000,,2011-40,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=e43d5f8dbc874c6,19591121-FB-0002-2Qtr,19591121-FB-0002-2Qtr,00:09:32,00:09:32,,,,2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:09:32 not 00:09:23; many portions of the film are dark -- editing possible? // this passes (ESC),,,,,,,,,
UMDM,,UMDM,,,19591121-FB-0003-3Qtr,,,,,,,,,,,"Football: Maryland (55) vs. Virginia (12), November 21, 1959",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (55) and Virginia (12) on November 21, 1959",,University Archives,University AlbUM,,1959-11-21,,1901-2000,,2011-40,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=2043e17e62484bb,19591121-FB-0003-3Qtr,19591121-FB-0003-3Qtr,00:08:01,00:08:01,,,,2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,"duration of mp4 is 00:08:01 not 00:07:58; extreme broadcast range readings from black bars framing side of film; portions of film are dark -- editing possible? // this appears inherent to film, this passes (ESC)",,,,,,,,,
UMDM,,UMDM,,,19591121-FB-0004-4Qtr,,,,,,,,,,,"Football: Maryland (55) vs. Virginia (12), November 21, 1959",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (55) and Virginia (12) on November 21, 1959",,University Archives,University AlbUM,,1959-11-21,,1901-2000,,2011-40,,,Box 1,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=59de4b48cfea4dd,19591121-FB-0004-4Qtr,19591121-FB-0004-4Qtr,00:07:24,00:07:24,,,,2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:07:24; footage is quite dark but still visible; flaw inherent in film at 00:00:19,,,,,,,,,
UMDM,,UMDM,,,19601001-FB-0001-1Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Duke (20), October 01, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the first quarter of the football game between Maryland (7) and Duke (20) on October 01, 1960",,University Archives,University AlbUM,,1960-10-01,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=3f34336a4206436,19601001-FB-0001-1Qtr,19601001-FB-0001-1Qtr,00:08:36,00:08:36,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:36 not 00:08:28,,,,,,,,,
UMDM,,UMDM,,,19601001-FB-0004-4Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Duke (20), October 01, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the fourth quarter of the football game between Maryland (7) and Duke (20) on October 01, 1960",,University Archives,University AlbUM,,1960-10-01,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=60831f66ff84412,19601001-FB-0004-4Qtr,19601001-FB-0004-4Qtr,00:08:15,00:08:15,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:15 not 00:08:36; ring on top right at 00:06:14 and 00:06:23; bad splice at 00:06:24,,,,,,,,,
UMDM,,UMDM,,,19601002-FB-0002-2Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Duke (20), October 01, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the second quarter of the football game betweenMaryland (7) and Duke (20) on October 01, 1960",,University Archives,University AlbUM,,1960-10-01,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
UMAM,,,UMAM,http://streamer.lib.umd.edu/ssdcms/i.do?u=25c27f86fd8e4a7,19601002-FB-0002-2Qtr,19601002-FB-0002-2Qtr,00:08:00,00:08:00,,,,2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collection may be protected under Title 17 of the U.S. Copyright Law. To obtain permission to publish or reproduce, please contact the University of Maryland Libraries at http://www.lib.umd.edu/special/contact/home.",,,,,,,,,,,,,,,,,,,,,,duration of mp4 is 00:08:00 not00:07:58; burn at 00:00:09,,,,,,,,,
UMDM,,UMDM,,,19601003-FB-0003-3Qtr,,,,,,,,,,,"Football: Maryland (7) vs. Duke (20), October 01, 1960",,,,,,"University of Maryland, College Park. Department of Intercollegiate Athletics",corpName,"Film footage of the third quarter of the football game between Maryland (7) and Duke (20) on October 01, 1960",,University Archives,University AlbUM,,1960-10-01,,1901-2000,,97-101,,,Box 29,,,,,"University of Maryland; Sports, Recreation",,,,moving image,analog,Live action,16mm,"7""",,North America,United States,Maryland,College Park,,,,,,,,,,Terrapins (Football team),LCNAF,,,,,,
